Category,Subcategory,Item,Description,Status,Priority
Core Pages & Flows,Home,Page shell and layout,,Unassigned,None
Core Pages & Flows,Home,HeroSection with primary CTA,,Unassigned,None
Core Pages & Flows,Home,WhyWeExistSection (mission statement),,Unassigned,None
Core Pages & Flows,Home,WhyThisMattersSection (problem/solution),,Unassigned,None
Core Pages & Flows,Home,ConnectedSystemSection (ecosystem overview),,Unassigned,None
Core Pages & Flows,Home,DifferentiationSection (key differentiators),,Unassigned,None
Core Pages & Flows,Home,IngredientIntelligence section,,Unassigned,None
Core Pages & Flows,Home,IngredientCarousel (ingredient showcase),,Unassigned,None
Core Pages & Flows,Home,EducationHub (educational content),,Unassigned,None
Core Pages & Flows,Home,PersonalizedAIGuidance (AI preview),,Unassigned,None
Core Pages & Flows,Home,ProductComparison showcase,,Unassigned,None
Core Pages & Flows,Home,QuizCTA (skin survey call-to-action),,Unassigned,None
Core Pages & Flows,Home,MarketplaceSection (marketplace promotion),,Unassigned,None
Core Pages & Flows,Home,RewardsSection (points/rewards),,Unassigned,None
Core Pages & Flows,Home,RoutineTracker preview,,Unassigned,None
Core Pages & Flows,Home,TestimonialSection (user testimonials),,Unassigned,None
Core Pages & Flows,Home,TrustBanner (trust/safety messaging),,Unassigned,None
Core Pages & Flows,Home,CommunityStories (community highlights),,Unassigned,None
Core Pages & Flows,Home,SmartProductSearch preview,,Unassigned,None
Core Pages & Flows,Home,YourJourneySection (journey framing),,Unassigned,None
Core Pages & Flows,Home,Scroll-triggered animation orchestration,,Unassigned,None
Core Pages & Flows,Home,Section lazy-loading / viewport gating,,Unassigned,None
Core Pages & Flows,Home,Personalized hero variant based on returning-user state,,Unassigned,None
Core Pages & Flows,Home,Deep-link anchors for each section (e.g. /#rewards),,Unassigned,None
Core Pages & Flows,Discover,ProductCatalog grid with pagination or infinite scroll,,Unassigned,None
Core Pages & Flows,Discover,Multi-dimension filter panel (category skin type concerns price brand preferences),,Unassigned,None
Core Pages & Flows,Discover,Sort controls (relevance price low/high rating newest),,Unassigned,None
Core Pages & Flows,Discover,Personalized Recommended for You ranking,,Unassigned,None
Core Pages & Flows,Discover,Search integration (keyword ingredient concern),,Unassigned,None
Core Pages & Flows,Discover,QuizFlow inline quiz for guided discovery,,Unassigned,None
Core Pages & Flows,Discover,ResultsDisplay for quiz-driven recommendations,,Unassigned,None
Core Pages & Flows,Discover,Product card with match badge safety badge save button,,Unassigned,None
Core Pages & Flows,Discover,Comparison picker (select up to 3 products),,Unassigned,None
Core Pages & Flows,Discover,ComparisonPickerModal with side-by-side metrics,,Unassigned,None
Core Pages & Flows,Discover,Empty state when no products match filters,,Unassigned,None
Core Pages & Flows,Discover,Loading skeleton for catalog,,Unassigned,None
Core Pages & Flows,Discover,URL-driven filter state (query params for shareable links),,Unassigned,None
Core Pages & Flows,Discover,Category quick-filter chips,,Unassigned,None
Core Pages & Flows,Discover,Recently Viewed sidebar or section,,Unassigned,None
Core Pages & Flows,Discover,Guest vs. authenticated personalization fallback,,Unassigned,None
Core Pages & Flows,Product Detail,ProductOverview (hero image gallery name brand price range rating),,Unassigned,None
Core Pages & Flows,Product Detail,Image gallery with thumbnail navigation,,Unassigned,None
Core Pages & Flows,Product Detail,Key ingredients list with match highlighting,,Unassigned,None
Core Pages & Flows,Product Detail,Skin type suitability indicator,,Unassigned,None
Core Pages & Flows,Product Detail,Concern match badges,,Unassigned,None
Core Pages & Flows,Product Detail,Preference match badges (vegan cruelty-free etc.),,Unassigned,None
Core Pages & Flows,Product Detail,Location Fit Block (environment-aware: UV climate season),,Unassigned,None
Core Pages & Flows,Product Detail,Location Explanation Modal,,Unassigned,None
Core Pages & Flows,Product Detail,Safety badge (safe / caution / not-recommended),,Unassigned,None
Core Pages & Flows,Product Detail,CompatibleWith section (complementary products),,Unassigned,None
Core Pages & Flows,Product Detail,PurchaseOptions (retailer comparison table),,Unassigned,None
Core Pages & Flows,Product Detail,Retailer trust scores with explanation tooltip,,Unassigned,None
Core Pages & Flows,Product Detail,About Pricing tooltip,,Unassigned,None
Core Pages & Flows,Product Detail,Price range across retailers,,Unassigned,None
Core Pages & Flows,Product Detail,SimilarProducts section,,Unassigned,None
Core Pages & Flows,Product Detail,ProductReviews section with similarity-based reviewer matching,,Unassigned,None
Core Pages & Flows,Product Detail,Comparison picker integration,,Unassigned,None
Core Pages & Flows,Product Detail,Save/unsave product,,Unassigned,None
Core Pages & Flows,Product Detail,Recently viewed tracking,,Unassigned,None
Core Pages & Flows,Product Detail,Tab navigation (overview reviews purchase),,Unassigned,None
Core Pages & Flows,Product Detail,Share product (URL copy social),,Unassigned,None
Core Pages & Flows,Product Detail,Breadcrumb navigation,,Unassigned,None
Core Pages & Flows,Product Search Detail,ProductOverview with environment block,,Unassigned,None
Core Pages & Flows,Product Search Detail,Skin type match,,Unassigned,None
Core Pages & Flows,Product Search Detail,Concern match,,Unassigned,None
Core Pages & Flows,Product Search Detail,Environment data (gated by source: mock hidden partial/live shown),,Unassigned,None
Core Pages & Flows,Product Search Detail,PurchaseOptions with canonical pricing tooltip,,Unassigned,None
Core Pages & Flows,Product Search Detail,Add to comparison,,Unassigned,None
Core Pages & Flows,Product Search Detail,View reviews link,,Unassigned,None
Core Pages & Flows,Ingredients,IngredientLibrary browse/search with category filters,,Unassigned,None
Core Pages & Flows,Ingredients,Ingredient cards with safety icon concern tags,,Unassigned,None
Core Pages & Flows,Ingredients,IngredientDetail view with full breakdown,,Unassigned,None
Core Pages & Flows,Ingredients,Ingredient safety explanation,,Unassigned,None
Core Pages & Flows,Ingredients,Ingredient-to-product matching (products containing this ingredient),,Unassigned,None
Core Pages & Flows,Ingredients,Personalized ingredient highlights (user concern matches),,Unassigned,None
Core Pages & Flows,Ingredients,Ingredient conflict warnings,,Unassigned,None
Core Pages & Flows,Ingredients,Concentration information where available,,Unassigned,None
Core Pages & Flows,Ingredients,ExplainWhyDropdown for safety ratings,,Unassigned,None
Core Pages & Flows,Ingredients,URL-driven detail view (?id=slug),,Unassigned,None
Core Pages & Flows,Ingredients,Empty state for no results,,Unassigned,None
Core Pages & Flows,Ingredients,Alphabet / first-letter filter,,Unassigned,None
Core Pages & Flows,Routines,RoutineBuilder (step-by-step editor),,Unassigned,None
Core Pages & Flows,Routines,AM/PM time-of-day classification,,Unassigned,None
Core Pages & Flows,Routines,Drag-and-drop step reordering,,Unassigned,None
Core Pages & Flows,Routines,ProductPickerModal (browse & add products to steps),,Unassigned,None
Core Pages & Flows,Routines,CustomStepModal (create non-product step),,Unassigned,None
Core Pages & Flows,Routines,ConflictDetection engine (ingredient conflicts),,Unassigned,None
Core Pages & Flows,Routines,ConflictDetectionPopup modal,,Unassigned,None
Core Pages & Flows,Routines,AIAssistant (AI-powered routine suggestions),,Unassigned,None
Core Pages & Flows,Routines,NotesSection (per-routine notes with photo attachments),,Unassigned,None
Core Pages & Flows,Routines,RoutineTutorial (first-time onboarding),,Unassigned,None
Core Pages & Flows,Routines,Version history (VersionHistoryModal),,Unassigned,None
Core Pages & Flows,Routines,Version diff (step-by-step comparison),,Unassigned,None
Core Pages & Flows,Routines,Version revert,,Unassigned,None
Core Pages & Flows,Routines,TimelineTab (activity timeline),,Unassigned,None
Core Pages & Flows,Routines,InsightsPanel (automated routine insights),,Unassigned,None
Core Pages & Flows,Routines,Completion tracking (AM/PM daily checkboxes),,Unassigned,None
Core Pages & Flows,Routines,Streak computation,,Unassigned,None
Core Pages & Flows,Routines,Save to localStorage (guest) + Supabase (auth),,Unassigned,None
Core Pages & Flows,Routines,Routine analytics event logging,,Unassigned,None
Core Pages & Flows,Routines List,Saved routines listing,,Unassigned,None
Core Pages & Flows,Routines List,RoutineListTutorial (first-time guidance),,Unassigned,None
Core Pages & Flows,Routines List,Per-routine actions (view edit delete duplicate),,Unassigned,None
Core Pages & Flows,Routines List,NotesSection integration,,Unassigned,None
Core Pages & Flows,Routines List,VersionHistoryModal integration,,Unassigned,None
Core Pages & Flows,Routines List,TimelineTab integration,,Unassigned,None
Core Pages & Flows,Routines List,Routine count badge,,Unassigned,None
Core Pages & Flows,Routines List,Empty state for no routines,,Unassigned,None
Core Pages & Flows,Routines List,Sort by recency name time-of-day,,Unassigned,None
Core Pages & Flows,Routines List,Filter by AM/PM/both,,Unassigned,None
Core Pages & Flows,Skin Survey,QuizFlow (multi-step wizard),,Unassigned,None
